datetime,close,high,low,open,volume
17-06-2016 00:00,118.8,120.25,117.95,120.1,9115066
20-06-2016 00:00,121.05,121.35,117.3,117.45,7879482
21-06-2016 00:00,123.5,124.65,121.6,122.25,15274422
22-06-2016 00:00,122.2,123.95,120.1,123.95,10065713
23-06-2016 00:00,123.9,124.5,121.65,122.1,8243327
24-06-2016 00:00,117.3,119.6,112,118.35,22745648
27-06-2016 00:00,119.8,120.8,115.9,115.95,13603388
28-06-2016 00:00,118.05,121.05,117.75,119.9,11037595
29-06-2016 00:00,119.95,121.3,118.6,119,9327343
30-06-2016 00:00,122.85,123.45,121.25,122.4,15709303
01-07-2016 00:00,124.75,125.5,123.15,124,8905862
04-07-2016 00:00,125.95,126.75,125.5,126.1,5715305
05-07-2016 00:00,123.65,127.4,123.3,126,9848628
07-07-2016 00:00,127.7,128.7,124.6,125,15661285
08-07-2016 00:00,126.85,128.7,125.5,128.7,8327269
11-07-2016 00:00,129.05,129.75,128.05,128.3,7534954
12-07-2016 00:00,135.25,136.2,130,130.35,26490373
13-07-2016 00:00,135.8,139.9,134.7,136,20241097
14-07-2016 00:00,135.8,137.35,133.75,136,11703265
15-07-2016 00:00,137.4,138,135.55,136.9,10639879
18-07-2016 00:00,137.25,141.45,136.15,137.9,13729613
19-07-2016 00:00,138,139.5,136.6,136.9,10933178
20-07-2016 00:00,135.9,139.3,134.3,138.85,11898110
21-07-2016 00:00,133.9,137.5,133.5,137.15,11200454
22-07-2016 00:00,136,137,130.35,133.2,15030516
25-07-2016 00:00,135.2,136.9,133.9,136.5,6407189
26-07-2016 00:00,131.65,136.8,131,135.2,12881150
27-07-2016 00:00,133.8,134.6,131.2,132.65,9550329
28-07-2016 00:00,134.25,135.6,132.1,134,10626361
29-07-2016 00:00,133.55,135.65,132.15,134.95,7051660
01-08-2016 00:00,136.6,138.8,134.1,134.5,12647887
02-08-2016 00:00,135.5,138.25,134.6,137.4,9026140
03-08-2016 00:00,135.7,137.25,133.6,135.4,9958140
04-08-2016 00:00,137.1,137.95,135.4,136.5,6943209
05-08-2016 00:00,143.7,144.25,138.5,139,13302798
08-08-2016 00:00,149.15,152.15,146,146.25,20168915
09-08-2016 00:00,146.6,150.25,145.4,150.2,9816523
10-08-2016 00:00,145.8,149.15,144.55,147,9266876
11-08-2016 00:00,142.25,146,138.5,145.6,9200944
12-08-2016 00:00,146.35,149.25,143,143,22086647
16-08-2016 00:00,154.65,155.55,146.6,147.7,17292821
17-08-2016 00:00,155.95,156.8,153.95,154.35,13401034
18-08-2016 00:00,154.35,157.15,154,156.5,7030499
19-08-2016 00:00,158.95,159.45,156.25,156.8,13625085
22-08-2016 00:00,156.05,158,155.3,158,6708408
23-08-2016 00:00,155.55,156.95,153.8,155.5,6120185
24-08-2016 00:00,157,157.6,155.4,156.3,7012966
25-08-2016 00:00,154.25,157.8,153.5,156.95,7136191
26-08-2016 00:00,155.5,156.95,154.3,155.45,7924816
29-08-2016 00:00,158.3,159.5,154.5,155,7488966
30-08-2016 00:00,162.75,163.5,159.05,159.9,7930389
31-08-2016 00:00,159.25,164.7,158.25,163,15209502
01-09-2016 00:00,157.5,160.65,156.6,159,6261144
02-09-2016 00:00,157.25,158.9,154.5,158.3,6820117
06-09-2016 00:00,158.5,159.9,157,157.55,5189625
07-09-2016 00:00,159.7,161.8,158.05,158.55,7925196
08-09-2016 00:00,161.95,163.45,160,160.9,9379095
09-09-2016 00:00,154.85,162.85,154,162.85,9427758
12-09-2016 00:00,140.85,150.6,139.9,149,16165924
14-09-2016 00:00,143.25,143.7,138.55,140.25,13195609
15-09-2016 00:00,145.55,146.25,141.15,144.95,10494591
16-09-2016 00:00,142.65,147.9,142,146.8,10327538
19-09-2016 00:00,143.95,144.6,141.7,143.1,4969953
20-09-2016 00:00,145.6,146.35,142.6,143,7633586
21-09-2016 00:00,149.55,151.35,144.1,145.55,14671999
22-09-2016 00:00,154.6,156.2,152.25,153.4,16321716
23-09-2016 00:00,154.45,156.85,153.05,154.6,10730581
26-09-2016 00:00,153.6,155.3,152.3,154,7234470
27-09-2016 00:00,150.05,155.3,149.55,154.35,8046035
28-09-2016 00:00,156.9,158.2,148.5,150.2,12785618
29-09-2016 00:00,150,157.85,147.8,157.45,14157620
30-09-2016 00:00,152.7,154.35,146.8,147,9167292
03-10-2016 00:00,154.1,155.2,152.6,154.5,9299252
04-10-2016 00:00,154.25,157.5,152.35,154.95,13696719
05-10-2016 00:00,157.25,159.3,155.75,156.5,10169595
06-10-2016 00:00,158.35,161.7,156.1,158,13604084
07-10-2016 00:00,158,160.4,156.65,158.95,7263839
10-10-2016 00:00,160.75,162.8,158.8,158.85,8157913
13-10-2016 00:00,155.15,159.25,152.1,157.9,8680827
14-10-2016 00:00,154.6,156.35,153.2,155.75,5656494
17-10-2016 00:00,150.65,155.6,150,154.2,7752014
18-10-2016 00:00,152.35,153.35,149.3,152,10851523
19-10-2016 00:00,151,153.95,150,153.4,8197044
